age,ast_pct,blk_pct,bpm,dbpm,drb_pct,dws,fg3a_per_fga_pct,fta_per_fga_pct,g,lg_id,mp,name,obpm,orb_pct,ows,per,pid,pos,ring,season,stl_pct,team_id,tov_pct,trb_pct,ts_pct,usg_pct,vorp,ws,ws_per_48
24,10.6,2.5,-2.1,1.8,7.8,0.0,.000,.889,4,NBA,56,P.J. Brown,-3.9,7.9,0.0,5.4,3673,C,False,1993-94,0.0,NJN,19.3,7.8,.479,12.6,0.0,0.1,.053
27,4.2,3.6,1.0,2.7,20.4,1.0,.000,.515,15,NBA,451,P.J. Brown,-1.7,12.5,0.3,14.0,3673,PF,False,1996-97,1.1,MIA,11.2,16.5,.483,15.1,0.3,1.3,.141
28,4.0,1.3,0.1,2.6,18.4,0.3,.000,.595,5,NBA,190,P.J. Brown,-2.5,9.8,0.1,11.6,3673,PF,False,1997-98,2.1,MIA,11.4,14.1,.493,13.8,0.1,0.4,.089
29,8.3,1.2,1.2,0.3,14.7,0.1,.022,.222,5,NBA,144,P.J. Brown,0.9,12.5,0.3,17.2,3673,PF,False,1998-99,0.8,MIA,5.7,13.6,.516,19.1,0.1,0.4,.136
30,6.8,1.1,0.3,1.6,21.7,0.7,.000,.073,10,NBA,308,P.J. Brown,-1.3,10.0,0.0,10.6,3673,PF,False,1999-00,1.5,MIA,11.5,15.8,.443,15.3,0.2,0.7,.106
31,4.5,2.9,3.4,3.4,18.2,0.6,.000,.433,10,NBA,385,P.J. Brown,0.0,11.8,0.5,13.0,3673,C,False,2000-01,1.7,CHH,13.1,14.8,.502,11.0,0.5,1.1,.139
32,7.1,2.7,1.2,2.0,19.7,0.3,.000,.493,9,NBA,331,P.J. Brown,-0.8,9.7,0.6,14.1,3673,C,False,2001-02,1.0,CHH,8.1,14.6,.504,13.4,0.3,0.9,.129
33,5.2,1.2,2.7,2.3,16.5,0.1,.000,.568,6,NBA,193,P.J. Brown,0.4,12.7,0.5,16.3,3673,PF,False,2002-03,2.0,NOH,8.3,14.6,.555,14.5,0.2,0.6,.153
34,11.5,3.5,0.6,2.7,17.4,0.4,.000,.155,7,NBA,256,P.J. Brown,-2.2,12.6,0.0,12.5,3673,PF,False,2003-04,0.6,NOH,14.6,15.0,.409,16.2,0.2,0.4,.072
37,9.9,0.7,2.3,1.9,15.2,0.3,.000,.343,10,NBA,228,P.J. Brown,0.4,8.8,0.4,15.2,3673,PF,False,2006-07,1.9,CHI,9.4,12.0,.538,17.3,0.2,0.7,.151
38,5.6,2.5,-0.8,1.7,14.9,0.5,.018,.446,25,NBA,341,P.J. Brown,-2.5,6.7,0.3,8.2,3673,PF,True,2007-08,0.8,BOS,15.2,10.9,.545,11.2,0.1,0.7,.105
23,0.0,0.0,-10.0,15.4,0.0,0.0,.000,.000,1,NBA,3,Mike Brown,-25.5,0.0,-0.1,-17.6,3675,C,False,1986-87,17.9,CHI,50.0,0.0,.000,30.3,0.0,0.0,-0.668
24,31.3,0.0,4.2,3.4,0.0,0.0,,,1,NBA,4,Mike Brown,0.8,0.0,0.0,26.7,3675,C,False,1987-88,12.9,CHI,0.0,0.0,.568,9.7,0.0,0.0,.304
25,0.0,0.0,-13.4,-0.3,19.4,0.0,.000,.000,2,NBA,11,Mike Brown,-13.1,0.0,0.0,-7.5,3675,C,False,1988-89,0.0,UTA,0.0,9.4,.000,7.2,0.0,0.0,-0.138
26,6.1,1.0,-1.0,2.6,9.1,0.0,.000,.333,5,NBA,67,Mike Brown,-3.6,8.0,0.0,6.2,3675,C,False,1989-90,0.8,UTA,22.5,8.5,.523,14.3,0.0,0.0,.000
27,3.3,0.3,0.1,1.2,22.4,0.3,.000,.679,9,NBA,223,Mike Brown,-1.1,10.9,0.3,12.3,3675,C,False,1990-91,0.7,UTA,14.2,17.0,.591,16.7,0.1,0.6,.139
28,6.1,0.5,-3.3,0.6,19.2,0.2,.000,.547,16,NBA,274,Mike Brown,-3.9,10.3,0.0,9.0,3675,C,False,1991-92,0.4,UTA,14.7,14.9,.494,18.1,-0.1,0.2,.037
29,3.8,0.7,-2.6,0.7,14.7,0.1,.000,.440,5,NBA,93,Mike Brown,-3.3,5.0,0.0,10.2,3675,C,False,1992-93,0.0,UTA,14.4,9.9,.553,17.7,0.0,0.1,.056
33,5.9,0.0,-3.2,-0.4,8.2,0.0,.000,1.600,4,NBA,27,Mike Brown,-2.9,8.5,0.1,12.1,3675,C,False,1996-97,0.0,PHO,10.5,8.3,.646,15.6,0.0,0.1,.122
34,0.0,0.0,-4.3,2.9,0.0,0.0,,,1,NBA,1,Mike Brown,-7.2,0.0,0.0,0.0,3675,,False,1997-98,0.0,PHO,,0.0,,0.0,0.0,0.0,-0.028
27,26.8,,,,,1.0,.085,.575,17,ABA,696,Larry Brown,,,1.3,14.2,3679,PG,False,1967-68,,NOB,22.5,3.7,.534,18.3,,2.3,.162
28,20.5,,,,,0.8,.017,.520,16,ABA,534,Larry Brown,,,0.8,12.5,3679,PG,True,1968-69,,OAK,21.7,4.1,.527,17.2,,1.6,.142
