age,and1s,astd_pts,drawn_shooting,fga_blkd,fouls_blocking,fouls_offensive,fouls_shooting,fouls_take,g,lg_id,mp,name,pct_1,pct_2,pct_3,pct_4,pct_5,pid,plus_minus_net,plus_minus_on,pos,ring,season,team_id,tov_bad_pass,tov_lost_ball,tov_other
34,4,136,27,9,1,2,13,0,14,NBA,473,Dwyane Wade,34%,65%,1%,,,1272,-6.9,2.5,SG,False,2015-16,MIA,6,28,4
35,1,55,9,5,0,1,5,0,6,NBA,190,Dwyane Wade,8%,91%,1%,,,1272,6.5,-5.4,SG,False,2016-17,CHI,4,5,1
36,2,45,13,2,0,0,5,0,5,NBA,127,Dwyane Wade,,82%,17%,,,1272,23.7,1.1,SG,False,2017-18,MIA,10,0,0
28,0,4,2,1,,2,5,0,4,NBA,100,Lorenzen Wright,,,,,100%,1276,16.0,-8.6,C,False,2003-04,MEM,1,2,2
29,0,22,1,3,,0,9,0,4,NBA,85,Lorenzen Wright,,,,,100%,1276,4.7,-9.5,C,False,2004-05,MEM,1,1,0
30,0,7,5,2,,2,4,0,4,NBA,86,Lorenzen Wright,,,,5%,95%,1276,-2.9,-18.1,C,False,2005-06,MEM,1,2,2
20,0,11,3,1,,0,4,0,11,NBA,131,Julian Wright,,1%,67%,32%,,1280,-6.3,-0.7,SF,False,2007-08,NOH,4,0,1
21,0,4,1,1,,0,4,0,4,NBA,32,Julian Wright,,,41%,59%,,1280,-19.3,-43.5,SF,False,2008-09,NOH,0,1,0
21,0,0,0,0,,0,0,0,1,NBA,1,Dorell Wright,,100%,,,,1284,-188.7,-200.0,SF,False,2006-07,MIA,0,0,0
23,0,0,0,0,,0,0,0,1,NBA,3,Dorell Wright,,,100%,,,1284,-41.6,-40.0,SF,False,2008-09,MIA,0,0,0
24,0,19,1,1,,0,1,0,5,NBA,112,Dorell Wright,,23%,78%,,,1284,12.9,-1.5,SF,False,2009-10,MIA,3,3,0
28,0,8,5,2,0,1,2,0,8,NBA,88,Dorell Wright,,3%,87%,11%,,1284,-16.5,-20.3,SF,False,2013-14,POR,2,0,3
30,0,6,1,1,0,0,2,0,5,NBA,19,Dorell Wright,,,20%,67%,14%,1284,1.0,5.6,SF,False,2015-16,MIA,0,0,0
21,1,0,1,0,,0,0,0,5,NBA,10,Antoine Wright,,71%,29%,,,1288,23.8,22.2,SG,False,2005-06,NJN,0,0,0
22,0,3,4,3,,0,9,0,12,NBA,163,Antoine Wright,,33%,61%,6%,,1288,-13.7,-8.5,SG,False,2006-07,NJN,3,1,1
23,0,0,0,0,,0,0,0,1,NBA,7,Antoine Wright,,87%,13%,,,1288,33.1,21.8,SG,False,2007-08,DAL,2,0,0
24,3,23,7,0,,1,17,0,10,NBA,167,Antoine Wright,,30%,69%,,,1288,-9.6,-7.3,SF,False,2008-09,DAL,1,2,1
