age,avg_dist,fg2_dunk,fg2_pct,fg2_pct_ast,fg2a_pct_fga,fg3_heave,fg3_pct,fg3_pct_ast,fg3_pct_corner,fg3a_heave,fg3a_pct_fga,fg_pct,fg_pct_00_03,fg_pct_03_10,fg_pct_10_16,fg_pct_16_xx,g,lg_id,mp,name,pct_fg2_dunk,pct_fg3a_corner,pct_fga_00_03,pct_fga_03_10,pct_fga_10_16,pct_fga_16_xx,pid,pos,ring,season,team_id
27,14.5,0,.490,.253,.586,0,.333,.611,.500,0,.414,.425,.557,.333,.458,.500,15,NBA,521,Isaiah Thomas,.000,.074,.303,.115,.092,.077,1492,PG,False,2016-17,BOS
23,23.3,0,,,.000,0,.333,1.000,.333,0,1.000,.333,,,,,6,NBA,15,Garrett Temple,.000,1.000,.000,.000,.000,.000,1488,SG,False,2009-10,SAS
27,20.5,0,1.000,.000,.500,0,1.000,.000,,0,.500,1.000,,,1.000,,10,NBA,9,Garrett Temple,.000,.000,.000,.000,.500,.000,1488,SG,False,2013-14,WAS
28,17.2,0,.333,.000,.500,0,.000,,.000,0,.500,.167,1.000,.000,,.000,4,NBA,26,Garrett Temple,.000,.667,.167,.167,.000,.167,1488,SG,False,2014-15,WAS
27,,0,,,,0,,,,0,,,,,,,1,NBA,1,Mirza Teletovic,,,,,,,1487,PF,False,2012-13,BRK
28,19.2,0,.654,.471,.317,0,.339,1.000,.500,0,.683,.439,.800,.400,1.000,.250,12,NBA,220,Mirza Teletovic,.000,.214,.183,.061,.024,.049,1487,SF,False,2013-14,BRK
29,21.4,0,.000,,.200,0,.000,,.000,0,.800,.000,,.000,,,3,NBA,16,Mirza Teletovic,.000,.250,.000,.200,.000,.000,1487,PF,False,2014-15,BRK
31,21.0,0,.000,,.333,0,.250,1.000,.000,0,.667,.167,,.000,,.000,3,NBA,27,Mirza Teletovic,.000,.250,.000,.167,.000,.167,1487,PF,False,2016-17,MIL
21,14.9,0,.313,.000,.762,0,.400,.500,,0,.238,.333,.600,.000,1.000,.143,9,NBA,59,Jeff Teague,.000,.000,.238,.143,.048,.333,1485,PG,False,2009-10,ATL
22,9.5,3,.554,.306,.903,0,.143,1.000,,0,.097,.514,.667,.619,.500,.286,8,NBA,238,Jeff Teague,.042,.000,.333,.292,.083,.194,1485,PG,False,2010-11,ATL
23,10.9,5,.411,.174,.767,0,.412,.571,.500,0,.233,.411,.520,.375,.375,.143,6,NBA,225,Jeff Teague,.068,.118,.342,.219,.110,.096,1485,PG,False,2011-12,ATL
24,11.1,0,.338,.125,.877,0,.300,.000,.000,0,.123,.333,.500,.286,.091,.368,6,NBA,213,Jeff Teague,.000,.100,.247,.259,.136,.235,1485,PG,False,2012-13,ATL
25,11.2,3,.412,.086,.759,0,.333,.444,.500,0,.241,.393,.622,.208,.200,.357,7,NBA,242,Jeff Teague,.027,.074,.330,.214,.089,.125,1485,PG,False,2013-14,ATL
26,11.6,1,.443,.169,.728,0,.323,.429,.800,0,.272,.410,.518,.455,.211,.346,16,NBA,529,Jeff Teague,.004,.077,.356,.184,.079,.109,1485,PG,False,2014-15,ATL
27,11.8,0,.435,.108,.702,0,.250,.556,.000,0,.298,.380,.477,.524,.333,.182,10,NBA,279,Jeff Teague,.000,.139,.364,.174,.074,.091,1485,PG,False,2015-16,ATL
28,15.0,0,.464,.000,.622,0,.529,.333,1.000,0,.378,.489,.333,.500,.667,.000,4,NBA,142,Jeff Teague,.000,.059,.133,.311,.133,.044,1485,PG,False,2016-17,IND
29,12.3,0,.485,.000,.647,0,.389,.857,.000,0,.353,.451,.583,.500,.333,.000,5,NBA,153,Jeff Teague,.000,.056,.235,.314,.059,.039,1485,PG,False,2017-18,MIN
22,14.0,0,.000,,.500,0,.000,,,0,.500,.000,.000,,,,3,NBA,10,Isaiah Taylor,.000,.000,.500,.000,.000,.000,1484,PG,False,2016-17,HOU
19,12.5,0,.417,.400,.706,0,.000,,.000,0,.294,.294,.571,.000,.000,.500,8,NBA,72,Marquis Teague,.000,.200,.412,.059,.118,.118,1486,PG,False,2012-13,CHI
