age,ast_per_g,blk_per_g,drb_per_g,efg_pct,fg2_pct,fg2_per_g,fg2a_per_g,fg3_pct,fg3_per_g,fg3a_per_g,fg_pct,fg_per_g,fga_per_g,ft_pct,ft_per_g,fta_per_g,g,gs,lg_id,mp_per_g,name,orb_per_g,pf_per_g,pid,pos,pts_per_g,ring,season,stl_per_g,team_id,tov_per_g,trb_per_g
24,0.0,0.0,1.0,.500,.000,0.0,0.5,.500,0.5,1.0,.333,0.5,1.5,,0.0,0.0,2,0,NBA,5.0,Josh Huestis,0.5,0.5,861,PF,1.5,False,2015-16,0.0,OKC,0.0,1.5
26,0.0,0.3,0.8,.500,.500,0.3,0.5,,0.0,0.0,.500,0.3,0.5,.500,0.3,0.5,4,0,NBA,4.8,Josh Huestis,0.0,0.8,861,PF,0.8,False,2017-18,0.3,OKC,0.0,0.8
22,0.6,0.2,1.0,.278,.250,0.2,0.8,.200,0.2,1.0,.222,0.4,1.8,,0.0,0.0,5,0,NBA,8.2,R.J. Hunter,0.2,0.6,862,SG,1.0,False,2015-16,0.0,BOS,0.2,1.2
21,1.8,1.0,10.8,.548,.548,5.8,10.5,,0.0,0.0,.548,5.8,10.5,.455,3.8,8.3,4,4,NBA,41.8,Dwight Howard,4.0,3.3,858,C,15.3,False,2006-07,0.5,ORL,4.3,14.8
22,0.9,3.4,9.8,.581,.581,7.2,12.4,,0.0,0.0,.581,7.2,12.4,.542,4.5,8.3,10,10,NBA,42.1,Dwight Howard,6.0,3.8,858,C,18.9,False,2007-08,0.8,ORL,3.2,15.8
23,1.9,2.6,11.0,.601,.605,7.0,11.6,.000,0.0,0.1,.601,7.0,11.7,.636,6.3,9.9,23,23,NBA,39.3,Dwight Howard,4.3,4.4,858,C,20.3,False,2008-09,0.9,ORL,2.9,15.3
24,1.4,3.5,8.4,.614,.614,6.1,10.0,,0.0,0.0,.614,6.1,10.0,.519,5.9,11.3,14,14,NBA,35.5,Dwight Howard,2.7,4.2,858,C,18.1,False,2009-10,0.8,ORL,3.6,11.1
25,0.5,1.8,11.0,.630,.638,8.5,13.3,.000,0.0,0.2,.630,8.5,13.5,.682,10.0,14.7,6,6,NBA,43.0,Dwight Howard,4.5,4.2,858,C,27.0,False,2010-11,0.7,ORL,5.5,15.5
27,1.0,2.0,8.3,.619,.619,6.5,10.5,,0.0,0.0,.619,6.5,10.5,.444,4.0,9.0,4,4,NBA,31.5,Dwight Howard,2.5,4.3,858,C,17.0,False,2012-13,0.5,LAL,4.0,10.8
28,1.8,2.8,9.2,.547,.547,9.7,17.7,,0.0,0.0,.547,9.7,17.7,.625,6.7,10.7,6,6,NBA,38.5,Dwight Howard,4.5,4.2,858,C,26.0,False,2013-14,0.7,HOU,3.2,13.7
29,1.2,2.3,10.4,.577,.577,6.2,10.7,,0.0,0.0,.577,6.2,10.7,.412,4.0,9.7,17,17,NBA,33.8,Dwight Howard,3.6,3.5,858,C,16.4,False,2014-15,1.4,HOU,2.2,14.0
30,1.6,1.4,8.8,.542,.553,5.2,9.4,.000,0.0,0.2,.542,5.2,9.6,.368,2.8,7.6,5,5,NBA,36.0,Dwight Howard,5.2,4.2,858,C,13.2,False,2015-16,0.8,HOU,2.4,14.0
31,1.3,0.8,7.7,.500,.500,3.0,6.0,,0.0,0.0,.500,3.0,6.0,.632,2.0,3.2,6,6,NBA,26.2,Dwight Howard,3.0,3.5,858,C,8.0,False,2016-17,1.0,ATL,1.8,10.7
21,3.6,1.0,7.3,.472,.472,4.9,10.3,,0.0,0.0,.472,4.9,10.3,.741,2.9,3.9,7,7,NBA,39.6,Al Horford,3.1,3.7,856,C,12.6,False,2007-08,0.4,ATL,2.1,10.4
22,2.0,0.7,4.4,.424,.431,2.8,6.4,.000,0.0,0.1,.424,2.8,6.6,.667,1.3,2.0,9,9,NBA,28.0,Al Horford,1.3,2.9,856,C,6.9,False,2008-09,0.7,ATL,0.4,5.8
23,1.8,1.7,6.5,.527,.520,6.0,11.5,1.000,0.1,0.1,.523,6.1,11.6,.839,2.4,2.8,11,11,NBA,35.3,Al Horford,2.5,3.2,856,C,14.6,False,2009-10,0.7,ATL,1.4,9.0
24,3.5,1.0,7.5,.423,.430,4.8,11.3,.000,0.0,0.2,.423,4.8,11.4,.769,1.7,2.2,12,12,NBA,39.0,Al Horford,2.1,2.8,856,C,11.3,False,2010-11,0.4,ATL,1.4,9.6
25,2.7,1.3,6.7,.588,.588,6.7,11.3,,0.0,0.0,.588,6.7,11.3,.750,2.0,2.7,3,2,NBA,36.0,Al Horford,1.7,3.7,856,C,15.3,False,2011-12,1.3,ATL,4.0,8.3
