age,ast,blk,drb,efg_pct,fg,fg2,fg2_pct,fg2a,fg3,fg3_pct,fg3a,fg_pct,fga,ft,ft_pct,fta,g,gs,lg_id,mp,name,orb,pf,pid,pos,pts,ring,season,stl,team_id,tov,trb
27,3,1,10,.530,21,10,.588,17,11,.333,33,.420,50,2,1.000,2,9,0,NBA,105,Gerald Green,2,10,792,SF,55,False,2012-13,0,IND,6,12
30,1,1,15,.367,16,12,.343,35,4,.286,14,.327,49,4,.800,5,12,0,NBA,110,Gerald Green,2,14,792,SG,40,False,2015-16,4,MIA,2,17
31,9,1,18,.618,34,13,.481,27,21,.467,45,.472,72,8,.889,9,13,7,NBA,192,Gerald Green,2,21,792,SF,97,False,2016-17,3,BOS,7,20
32,1,7,44,.537,37,10,.455,22,27,.375,72,.394,94,6,.857,7,17,0,NBA,272,Gerald Green,6,27,792,SG,107,False,2017-18,4,HOU,10,50
22,19,10,37,.509,24,15,.455,33,9,.391,23,.429,56,13,.765,17,12,1,NBA,223,Draymond Green,14,35,791,SF,70,False,2012-13,6,GSW,12,51
23,20,12,40,.533,28,20,.645,31,8,.276,29,.467,60,19,.792,24,7,4,NBA,228,Draymond Green,18,33,791,SF,83,False,2013-14,12,GSW,17,58
24,109,25,166,.467,100,76,.510,149,24,.264,91,.417,240,64,.736,87,21,21,NBA,784,Draymond Green,46,89,791,PF,288,True,2014-15,38,GSW,58,212
25,138,41,190,.500,119,81,.471,172,38,.365,104,.431,276,79,.738,107,23,23,NBA,879,Draymond Green,38,81,791,PF,355,False,2015-16,37,GSW,56,228
26,110,28,135,.547,72,40,.482,83,32,.410,78,.447,161,46,.687,67,17,17,NBA,593,Draymond Green,20,60,791,PF,222,True,2016-17,31,GSW,36,155
27,171,31,180,.487,83,62,.549,113,21,.266,79,.432,192,39,.796,49,21,21,NBA,819,Draymond Green,42,75,791,PF,226,True,2017-18,41,GSW,63,222
24,5,0,4,.283,6,5,.357,14,1,.111,9,.261,23,3,1.000,3,5,2,NBA,52,Jerian Grant,0,3,788,PG,16,False,2016-17,2,CHI,7,4
24,0,0,1,1.000,1,1,1.000,1,0,,0,1.000,1,0,,0,3,0,NBA,5,Ryan Humphrey,1,0,786,PF,2,False,2003-04,0,MEM,0,2
26,4,0,8,,0,,,,,,,.000,7,0,,0,6,,NBA,68,John Hummer,1,7,785,PF,0,False,1974-75,2,SEA,,9
27,0,0,0,,2,,,,,,,.667,3,0,,0,3,,NBA,16,John Hummer,1,3,785,PF,4,False,1975-76,0,SEA,,1
22,16,0,4,.645,20,20,.645,31,0,,0,.645,31,9,.750,12,3,3,NBA,90,Jay Humphries,1,12,787,SG,49,False,1984-85,2,PHO,8,5
25,1,0,2,.000,0,0,.000,5,0,,0,.000,5,0,,0,2,0,NBA,18,Jay Humphries,1,6,787,PG,0,False,1987-88,1,MIL,1,3
26,70,0,19,.510,49,46,.568,81,3,.167,18,.495,99,30,.882,34,9,9,NBA,323,Jay Humphries,8,29,787,PG,131,False,1988-89,8,MIL,12,27
27,19,0,4,.567,8,7,.583,12,1,.333,3,.533,15,10,.769,13,3,2,NBA,79,Jay Humphries,1,6,787,PG,27,False,1989-90,3,MIL,8,5
28,25,0,4,.563,17,15,.556,27,2,.400,5,.531,32,9,.900,10,3,3,NBA,123,Jay Humphries,2,17,787,PG,45,False,1990-91,2,MIL,6,6
30,17,3,5,.364,11,9,.360,25,2,.250,8,.333,33,2,.500,4,5,0,NBA,115,Jay Humphries,5,8,787,SG,26,False,1992-93,3,UTA,6,10
31,39,2,29,.458,46,39,.453,86,7,.318,22,.426,108,19,.679,28,16,0,NBA,356,Jay Humphries,8,45,787,SG,118,False,1993-94,13,UTA,16,37
20,16,9,20,.403,31,31,.443,70,0,.000,7,.403,77,20,.833,24,8,2,NBA,198,Larry Hughes,17,21,782,PG,82,False,1998-99,15,PHI,12,37
26,37,7,54,.395,68,61,.412,148,7,.212,33,.376,181,64,.831,77,10,10,NBA,401,Larry Hughes,17,35,782,SG,207,False,2004-05,20,WAS,25,71
27,36,1,18,.341,36,31,.326,95,5,.278,18,.319,113,23,.742,31,9,8,NBA,336,Larry Hughes,9,34,782,SG,100,False,2005-06,20,CLE,16,27
28,44,8,62,.394,69,50,.345,145,19,.352,54,.347,199,47,.746,63,18,18,NBA,639,Larry Hughes,9,35,782,SG,204,False,2006-07,25,CLE,42,71
31,6,0,12,.588,8,4,.571,7,4,.400,10,.471,17,4,.571,7,4,0,NBA,58,Larry Hughes,1,8,782,SG,24,False,2009-10,0,CHA,3,13
22,4,2,12,.645,19,17,.680,25,2,.333,6,.613,31,6,.857,7,5,0,NBA,111,Jerami Grant,7,7,782,PF,46,False,2016-17,1,OKC,3,19
23,6,3,12,.543,18,16,.593,27,2,.250,8,.514,35,5,.455,11,6,0,NBA,133,Jerami Grant,8,15,782,PF,43,False,2017-18,4,OKC,6,20
23,0,4,6,.833,5,5,.833,6,0,,0,.833,6,0,,0,8,0,NBA,48,Marcin Gortat,2,5,779,C,10,False,2007-08,0,ORL,3,8
24,3,15,58,.654,34,34,.654,52,0,,0,.654,52,10,.625,16,24,1,NBA,271,Marcin Gortat,18,39,779,PF,78,False,2008-09,9,ORL,11,76
25,9,4,38,.654,17,17,.654,26,0,,0,.654,26,8,.727,11,14,0,NBA,212,Marcin Gortat,24,29,779,C,42,False,2009-10,3,ORL,3,62
29,16,14,73,.492,58,58,.492,118,0,,0,.492,118,27,.659,41,11,11,NBA,382,Marcin Gortat,36,22,779,C,143,False,2013-14,5,WAS,20,109
30,22,11,61,.628,54,54,.628,86,0,,0,.628,86,16,.667,24,10,10,NBA,307,Marcin Gortat,27,29,779,C,124,False,2014-15,6,WAS,16,88
32,24,20,91,.505,47,47,.505,93,0,,0,.505,93,11,.611,18,13,13,NBA,409,Marcin Gortat,52,40,779,C,105,False,2016-17,5,WAS,17,143
33,6,2,25,.558,24,24,.558,43,0,,0,.558,43,4,.571,7,6,6,NBA,160,Marcin Gortat,13,15,779,C,52,False,2017-18,0,WAS,6,38
26,15,2,7,.548,28,15,.484,31,13,.406,32,.444,63,5,.833,6,4,4,NBA,143,Eric Gordon,2,11,778,SG,74,False,2014-15,2,NOP,10,9
28,22,6,38,.533,51,24,.471,51,27,.386,70,.421,121,13,.722,18,11,2,NBA,358,Eric Gordon,5,20,778,SG,142,False,2016-17,8,HOU,14,43
