age,and1s,astd_pts,drawn_shooting,fga_blkd,fouls_blocking,fouls_offensive,fouls_shooting,fouls_take,g,lg_id,mp,name,pct_1,pct_2,pct_3,pct_4,pct_5,pid,plus_minus_net,plus_minus_on,pos,ring,season,team_id,tov_bad_pass,tov_lost_ball,tov_other
26,4,178,20,9,1,4,17,0,18,NBA,685,George Hill,83%,17%,,,,845,23.9,6.5,PG,False,2012-13,IND,25,11,4
27,4,137,24,14,0,5,21,1,19,NBA,687,George Hill,100%,,,,,845,10.8,1.9,PG,False,2013-14,IND,15,7,8
29,1,38,8,0,1,2,5,1,7,NBA,235,George Hill,98%,2%,,,,845,24.9,9.5,PG,False,2015-16,IND,2,4,2
30,3,71,12,2,0,1,13,2,8,NBA,281,George Hill,100%,,,,,845,14.4,2.3,PG,False,2016-17,UTA,8,4,1
31,2,105,14,9,0,3,19,1,19,NBA,557,George Hill,100%,,,,,845,9.4,2.5,PG,False,2017-18,CLE,12,6,4
21,1,33,4,0,,2,7,0,5,NBA,132,Nene Hilario,,,,74%,26%,844,-21.0,-14.2,PF,False,2003-04,DEN,1,3,5
22,1,4,9,6,,2,9,0,5,NBA,101,Nene Hilario,,,,5%,95%,844,-10.1,-16.7,C,False,2004-05,DEN,1,2,2
24,2,27,9,8,,3,10,0,5,NBA,179,Nene Hilario,,,,,100%,844,-16.4,-10.7,C,False,2006-07,DEN,1,5,7
25,1,3,2,1,,1,3,0,3,NBA,30,Nene Hilario,,,,,100%,844,-13.1,-24.6,PF,False,2007-08,DEN,0,1,1
26,12,97,32,11,,5,27,0,16,NBA,525,Nene Hilario,,,,,100%,844,4.3,10.9,C,False,2008-09,DEN,7,11,13
27,2,27,17,3,,1,6,0,5,NBA,169,Nene Hilario,,,,1%,99%,844,2.3,-0.8,C,False,2009-10,DEN,0,1,3
28,4,19,20,9,2,0,9,0,5,NBA,162,Nene Hilario,,,,,100%,844,-3.7,-6.7,C,False,2010-11,DEN,4,2,2
31,2,57,9,9,1,4,16,0,10,NBA,325,Nene Hilario,,,,71%,29%,844,-13.3,-4.4,PF,False,2013-14,WAS,8,5,4
32,3,37,11,7,2,5,11,1,10,NBA,257,Nene Hilario,,,,58%,42%,844,-11.6,-1.0,PF,False,2014-15,WAS,3,4,7
34,3,12,11,6,3,3,8,1,9,NBA,161,Nene Hilario,,,,,100%,844,18.4,14.3,C,False,2016-17,HOU,3,1,5
35,3,14,7,2,3,3,8,0,11,NBA,107,Nene Hilario,,,,,100%,844,10.9,11.1,C,False,2017-18,HOU,3,2,3
22,0,2,0,0,1,0,3,0,4,NBA,33,John Henson,,,,67%,33%,838,5.2,-12.1,PF,False,2012-13,MIL,0,2,0
24,2,10,7,4,0,0,6,0,6,NBA,153,John Henson,,,,,100%,838,-1.8,-13.1,C,False,2014-15,MIL,5,3,0
26,1,0,1,1,0,0,1,0,2,NBA,12,John Henson,,,,,100%,838,-49.0,-48.4,C,False,2016-17,MIL,1,0,0
27,0,11,0,0,0,1,2,0,2,NBA,74,John Henson,,,,,100%,838,-0.8,-0.1,C,False,2017-18,MIL,1,2,1
26,3,22,9,1,0,0,9,0,4,NBA,119,Gerald Henderson,,67%,33%,,,835,2.2,-10.1,SG,False,2013-14,CHA,5,1,0
28,0,37,5,7,0,1,6,1,11,NBA,234,Gerald Henderson,,59%,40%,1%,,835,-6.1,-5.5,SG,False,2015-16,POR,0,3,1
21,0,26,5,2,0,0,3,0,4,NBA,123,Gordon Hayward,,57%,43%,,,833,-27.2,-28.0,SF,False,2011-12,UTA,3,0,0
26,5,90,30,6,0,3,8,2,11,NBA,411,Gordon Hayward,,,38%,62%,,833,-17.7,-8.3,SF,False,2016-17,UTA,12,8,4
22,0,20,2,4,0,0,8,0,5,NBA,98,Spencer Hawes,,,,,100%,831,19.0,3.0,C,False,2010-11,PHI,0,2,0
23,2,42,11,7,0,4,18,0,13,NBA,332,Spencer Hawes,,,,,100%,831,-2.6,-2.1,C,False,2011-12,PHI,11,6,5
26,0,12,0,0,0,0,7,2,8,NBA,57,Spencer Hawes,,,,24%,76%,831,0.3,1.6,PF,False,2014-15,LAC,1,0,0
27,0,6,2,1,0,1,3,0,5,NBA,53,Spencer Hawes,,,,80%,20%,831,39.7,22.5,PF,False,2015-16,CHO,0,3,1
28,0,2,0,1,0,0,1,0,3,NBA,17,Spencer Hawes,,,,,100%,831,-30.0,-29.8,PF,False,2016-17,MIL,0,1,0
23,1,7,14,4,,2,11,0,13,NBA,199,Udonis Haslem,,,8%,92%,,830,-6.8,-4.5,PF,False,2003-04,MIA,1,0,2
24,6,32,17,14,,6,21,0,15,NBA,543,Udonis Haslem,,,,99%,1%,830,11.8,7.6,PF,False,2004-05,MIA,6,3,9
25,6,36,26,6,,6,33,0,22,NBA,650,Udonis Haslem,,,,92%,8%,830,-11.3,-0.2,PF,True,2005-06,MIA,8,10,13
26,0,8,3,3,,0,7,0,4,NBA,103,Udonis Haslem,,,,93%,7%,830,-13.8,-18.0,PF,False,2006-07,MIA,2,0,0
28,0,8,5,1,,4,7,0,7,NBA,204,Udonis Haslem,,,5%,95%,,830,5.6,3.4,PF,False,2008-09,MIA,1,1,4
29,0,11,2,3,,1,11,0,5,NBA,142,Udonis Haslem,,,,97%,3%,830,-8.9,-12.1,PF,False,2009-10,MIA,2,2,1
30,2,22,6,6,0,2,16,0,12,NBA,290,Udonis Haslem,,,17%,83%,,830,0.9,3.7,PF,False,2010-11,MIA,2,6,3
31,1,31,13,4,0,6,24,0,22,NBA,452,Udonis Haslem,,,18%,77%,4%,830,-2.2,6.8,PF,True,2011-12,MIA,7,5,8
32,2,12,7,3,8,7,17,0,22,NBA,357,Udonis Haslem,,,87%,12%,1%,830,-6.1,3.1,PF,True,2012-13,MIA,4,1,9
33,0,9,3,5,3,1,15,0,16,NBA,169,Udonis Haslem,,,56%,27%,17%,830,-29.5,-21.6,PF,False,2013-14,MIA,0,0,1
35,1,9,3,1,2,2,3,0,9,NBA,85,Udonis Haslem,,,,67%,33%,830,-15.7,-9.2,PF,False,2015-16,MIA,0,5,2
21,0,0,0,0,0,0,0,0,2,NBA,7,Aaron Harrison,,,,100%,,825,-42.2,-51.7,SG,False,2015-16,CHO,0,0,0
22,1,29,1,1,0,0,8,0,6,NBA,119,Andrew Harrison,48%,52%,,,,826,-27.6,-26.2,PG,False,2016-17,MEM,2,1,0
23,1,30,6,4,0,1,3,0,4,NBA,156,Tobias Harris,,,,90%,10%,824,39.1,-3.1,PF,False,2015-16,DET,0,5,1
23,0,3,1,0,0,0,0,0,6,NBA,16,Joe Harris,69%,31%,,,,822,-36.1,-31.3,SG,False,2014-15,CLE,1,0,0
22,0,0,1,0,0,0,0,0,2,NBA,12,Montrezl Harrell,,,44%,56%,,819,-4.5,-24.0,PF,False,2015-16,HOU,0,1,0
